Country name,Year,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports)
China,2001,0.02588502,13.88375562,2.639650215,11.14746235,20.0005170433,21.0100306932
United States,2001,4.494888518,67.31040755,49.08083159,45.14982121,17.6023162755,15.2612550306
China,2002,0.252303079,16.38594333,4.595704331,15.75742107,24.0308314435,23.1733239307
United States,2002,6.920633597,65.87670297,58.78540388,49.35962707,16.0769598286,14.8356364606
China,2003,0.852959779,19.97614967,6.2,20.52400801,27.6944945549,24.0467165434
United States,2003,9.57310291,63.12058598,61.69711712,55.42732036,15.8485299335,14.0809589655
China,2004,1.884961039,23.56281604,7.3,25.3063175,29.956987651,23.8162474275
United States,2004,12.77644087,60.77916193,64.75825648,63.21739536,15.2362848574,14.1697929377
China,2005,2.806632321,26.33387587,8.523257003,29.56214176,30.7218557799,25.2819606749
United States,2005,17.34151705,59.37789594,67.96805292,69.05236638,14.2965515135,13.6444731873
China,2006,3.799512213,27.47935026,10.52315262,34.44822335,30.7195938409,26.068874423
United States,2006,20.23035652,56.24008558,68.93119327,77.10934813,13.5303547653,13.4638580117
China,2007,4.93419774,27.1648336,16,40.66184883,29.3407280716,24.5457725925
United States,2007,23.85295723,52.69917132,75,82.93180628,11.7174025773,12.8047318752
China,2008,6.122995604,25.14529206,22.6,47.37436885,27.7085255258,21.1874081129
United States,2008,25.4146804,53.63113737,74,86.09952013,10.6162575632,11.836255103
China,2009,7.638872763,23.04871059,28.9,54.89500349,29.6510537775,21.8997053271
United States,2009,26.11492781,49.90833282,71,89.5449638,10.7084204671,14.3971175014
China,2010,9.22969172,21.50648138,34.3,62.75543093,29.124908036,20.3998760277
United States,2010,27.3523823,48.4292695,71.69,92.26777096,10.5551422145,14.2246207602
China,2011,11.36849026,20.71307585,38.3,71.6494509,26.7601820618,17.9992439018
United States,2011,28.34451919,45.99689919,69.72946076,95.44904589,9.5092092683,12.8381063655
China,2012,12.6558438,20.09476331,42.30011749,80.34603793,27.0555774747,19.5557640575
United States,2012,29.45894011,44.13236704,74.7,97.06859919,9.0315767684,12.813279788
China,2013,13.5721864,19.18156459,45.8,88.30574902,27.4221132321,20.5471893827
United States,2013,30.35140225,42.10896759,71.4,98.19768385,8.8766580243,12.9609184364
China,2014,14.32580171,17.82338014,47.9,91.89962887,25.9389723074,19.7096864075
United States,2014,30.69286505,40.32184536,73,111.5562164,8.965921416,12.8642012837
China,2015,19.69267651,16.41940148,50.3,91.835388,26.5630711866,23.3462922584
United States,2015,31.85382022,38.90820791,74.55420245,119.1439209,9.4385216576,13.7811887363
China,2016,22.81370164,14.61221985,53.2,96.52661691,26.4976248353,23.7559196222
United States,2016,32.72717192,37.56563201,85.54442129,122.5945483,9.6474064631,14.0620625382
China,2017,27.73989833,13.63504777,54.3,103.4384208,27.0686127356,22.7191883218
United States,2017,33.28362773,35.77436279,87.27488917,123.0448345,9.4754929692,14.2753493832
China,2018,28.53518942,13.4546491,59.2,115.5258122,27.3081820018,22.674412927
United States,2018,33.86036829,33.73104856,88.49890317,106.4646825,8.896843214,13.6039431583
China,2019,31.33520101,13.32369742,64.10983774,121.7922911,26.5022295728,22.4847526152
United States,2019,34.72536697,32.40394053,89.43028486,108.0926533,8.7421086474,12.9293600814
China,2020,33.59560288,12.63843501,70.40477542,119.3901628,27.0928700013,25.1212190318
United States,2020,36.60877024,30.6722619,90.9,106.1855544,9.6748491848,14.4432268052